municipios;populacao_total;area_total_km2;densidade_demografica;codigo_unidade_geografica
Adamantina;33797;411,4;82,16;3500105
Adolfo;3557;211,1;16,85;3500204
Aguaí;32148;474,7;67,72;3500303
Águas da Prata;7584;143,0;53,05;3500402
Águas de Lindóia;17266;60,1;287,16;3500501
Águas de Santa Bárbara;5601;408,0;13,73;3500550
Águas de São Pedro;2707;5,4;504,1;3500600
Agudos;34524;966,2;35,73;3500709
Alambari;4884;159,3;30,66;3500758
Alfredo Marcondes;3891;118,4;32,86;3500808
Altair;3815;313,9;12,16;3500907
Altinópolis;15607;929,8;16,78;3501004
Alto Alegre;4102;319,0;12,86;3501103
Alumínio;16839;83,8;200,92;3501152
Álvares Florence;3897;362,9;10,74;3501202
Álvares Machado;23513;347,4;67,69;3501301
Álvaro de Carvalho;4650;153,2;30,36;3501400
Alvinlândia;3000;84,8;35,38;3501509
Americana;210638;133,4;1579,59;3501608
Américo Brasiliense;34478;122,3;281,99;3501707
Américo de Campos;5706;253,1;22,54;3501806
Amparo;65829;445,6;147,75;3501905
Analândia;4293;326,3;13,16;3502002
Andradina;55334;964,2;57,39;3502101
Angatuba;22210;1028,0;21,61;3502200
Anhembi;5653;736,5;7,68;3502309
Anhumas;3738;320,4;11,67;3502408
Aparecida;35007;121,1;289,12;3502507
Aparecida d'Oeste;4450;179,0;24,86;3502606
Apiaí;25191;974,3;25,85;3502705
Araçariguama;17080;146,3;116,72;3502754
Araçatuba;181579;1167,4;155,54;3502804
Araçoiaba da Serra;27299;255,4;106,87;3502903
Aramina;5152;202,9;25,39;3503000
Arandu;6123;285,9;21,42;3503109
Arapeí;2493;156,8;15,9;3503158
Araraquara;208662;1004,1;207,8;3503208
Araras;118843;644,8;184,3;3503307
Arco-Íris;1925;264,7;7,27;3503356
Arealva;7841;505,0;15,53;3503406
Areias;3696;305,2;12,11;3503505
Areiópolis;10579;85,8;123,34;3503604
Ariranha;8547;133,2;64,19;3503703
Artur Nogueira;44177;178,0;248,15;3503802
Arujá;74905;96,4;777,35;3503901
Aspásia;1809;69,3;26,09;3503950
Assis;95144;460,3;206,7;3504008
Atibaia;126603;478,4;264,61;3504107
Auriflama;14202;434,0;32,72;3504206
Avaí;4959;540,5;9,18;3504305
Avanhandava;11310;338,6;33,4;3504404
Avaré;82934;1213,1;68,37;3504503
Bady Bassitt;14603;108,5;134,54;3504602
Balbinos;3702;91,6;40,4;3504701
Bálsamo;8160;150,6;54,18;3504800
Bananal;10223;616,0;16,59;3504909
Barão de Antonina;3116;153,1;20,35;3505005
Barbosa;6593;205,2;32,14;3505104
Bariri;31593;444,1;71,14;3505203
Barra Bonita;35246;149,9;235,12;3505302
Barra do Chapéu;5244;405,7;12,93;3505351
Barra do Turvo;7729;1007,8;7,67;3505401
Barretos;112101;1565,6;71,6;3505500
Barrinha;28496;145,6;195,66;3505609
Barueri;240749;66,1;3639,94;3505708
Bastos;20445;171,9;118,95;3505807
Batatais;56476;849,5;66,48;3505906
Bauru;343937;667,7;515,12;3506003
Bebedouro;75035;683,3;109,81;3506102
Bento de Abreu;2674;301,4;8,87;3506201
Bernardino de Campos;10775;244,2;44,12;3506300
Bertioga;47645;490,0;97,23;3506359
Bilac;7048;157,9;44,63;3506409
Birigui;108728;530,9;204,79;3506508
Biritiba-Mirim;28575;317,2;90,1;3506607
Boa Esperança do Sul;13645;690,8;19,75;3506706
Bocaina;10859;363,9;29,84;3506805
Bofete;9618;653,5;14,72;3506904
Boituva;48314;249,0;194,07;3507001
Bom Jesus dos Perdões;19708;107,6;183,08;3507100
Bom Sucesso de Itararé;3571;133,6;26,73;3507159
Borá;805;118,5;6,8;3507209
Boracéia;4268;122,1;34,95;3507308
Borborema;14529;552,3;26,31;3507407
Borebi;2293;348,0;6,59;3507456
Botucatu;127328;1482,6;85,88;3507506
Bragança Paulista;146744;512,6;286,26;3507605
Braúna;5021;195,3;25,7;3507704
Brejo Alegre;2573;105,4;24,41;3507753
Brodowski;21107;279,5;75,51;3507803
Brotas;21580;1101,4;19,59;3507902
Buri;18563;1195,9;15,52;3508009
Buritama;15418;326,8;47,19;3508108
Buritizal;4053;266,4;15,21;3508207
Cabrália Paulista;4365;239,9;18,19;3508306
Cabreúva;41604;260,2;159,91;3508405
Caçapava;84752;370,2;228,91;3508504
Cachoeira Paulista;30091;288,0;104,49;3508603
Caconde;18538;470,0;39,44;3508702
Cafelândia;16607;920,1;18,05;3508801
Caiabu;4072;252,8;16,11;3508900
Caieiras;86529;96,7;894,84;3509007
Caiuá;5039;552,1;9,13;3509106
Cajamar;64114;131,4;487,92;3509205
Cajati;28372;454,4;62,43;3509254
Cajobi;9768;176,9;55,22;3509304
Cajuru;23371;660,1;35,41;3509403
Campina do Monte Alegre;5567;185,0;30,09;3509452
Campinas;1080113;795,0;1358,63;3509502
Campo Limpo Paulista;74074;79,6;930,79;3509601
Campos do Jordão;47789;290,5;164,49;3509700
Campos Novos Paulista;4539;484,0;9,38;3509809
Cananéia;12226;1242,9;9,84;3509908
Canas;4385;53,3;82,33;3509957
Cândido Mota;29884;596,2;50,12;3510005
Cândido Rodrigues;2668;70,3;37,94;3510104
Canitar;4369;57,2;76,34;3510153
Capão Bonito;46178;1640,2;28,15;3510203
Capela do Alto;17532;169,9;103,2;3510302
Capivari;48576;322,7;150,53;3510401
Caraguatatuba;100840;485,4;207,76;3510500
Carapicuíba;369584;34,6;10680,08;3510609
Cardoso;11805;639,7;18,45;3510708
Casa Branca;28307;864,2;32,76;3510807
Cássia dos Coqueiros;2634;191,7;13,74;3510906
Castilho;18003;1065,8;16,89;3511003
Catanduva;112820;290,6;388,24;3511102
Catiguá;7127;148,4;48,03;3511201
Cedral;7972;197,4;40,38;3511300
Cerqueira César;17532;508,5;34,48;3511409
Cerquilho;39617;127,8;309,98;3511508
Cesário Lange;15540;190,8;81,46;3511607
Charqueada;15085;175,8;85,79;3511706
Chavantes;12114;188,1;64,4;3557204
Clementina;7065;168,8;41,85;3511904
Colina;17371;422,6;41,11;3512001
Colômbia;5994;729,3;8,22;3512100
Conchal;25229;182,8;138,02;3512209
Conchas;16288;466,0;34,95;3512308
Cordeirópolis;21080;137,6;153,22;3512407
Coroados;5238;246,4;21,26;3512506
Coronel Macedo;5001;303,9;16,45;3512605
Corumbataí;3874;278,6;13,9;3512704
Cosmópolis;58827;154,7;380,37;3512803
Cosmorama;7214;443,8;16,25;3512902
Cotia;201150;323,1;622,55;3513009
Cravinhos;31691;311,2;101,84;3513108
Cristais Paulista;7588;385,2;19,7;3513207
